draft_year,pick,name,player_slug,player_url,position,height,weight,age_at_draft,combine_max_vertical,combine_lane_agility,combine_shuttle,combine_three_qtr_sprint,combine_standing_reach,combine_wingspan,pg_g,pg_mp,pg_fgm_fga,pg_fg_pct,pg_tpm_tpa,pg_3p_pct,pg_ftm_fta,pg_ft_pct,pg_reb,pg_ast,pg_blk,pg_stl,pg_to,pg_pf,pg_pts,p36_g,p36_mp,p36_fgm_fga,p36_fg_pct,p36_tpm_tpa,p36_3p_pct,p36_ftm_fta,p36_ft_pct,p36_reb,p36_ast,p36_blk,p36_stl,p36_to,p36_pf,p36_pts,adv1_ts_pct,adv1_efg_pct,adv1_3pa_rate,adv1_fta_rate,adv1_proj_nba_3p,adv1_usg_pct,adv1_ast_usg,adv1_ast_to,adv2_per,adv2_ows_40,adv2_dws_40,adv2_ws_40,adv2_ortg,adv2_drtg,adv2_obpm,adv2_dbpm,adv2_bpm
2011,30,Jimmy Butler SF/SG | Marquette,jimmy-butler,https://www.tankathon.com/players/jimmy-butler,SF/SG,"6'7.75""",222lbs,21.75yrs,"39.0""",11.12,,3.15,"8'5.5""","6'7.5""",37,34.6,5.1-10.3,.490,0.5-1.6,.345,5.1-6.5,.783,6.1,2.3,0.4,1.4,1.5,1.3,15.7,37,36.0,5.3-10.7,.490,0.5-1.7,.345,5.3-6.8,.783,6.3,2.4,0.4,1.5,1.6,1.4,16.3,.587,.516,.152,.628,.339,21.3,0.62,1.59,24.0,.150,.047,.197,126.8,102.5,7.2,2.2,9.4
2012,1,Anthony Davis PF/C | Kentucky,anthony-davis,https://www.tankathon.com/players/anthony-davis,PF/C,"6'10.5""",222lbs,19.27yrs,,,,,,"7'5.5""",40,32.0,5.3-8.4,.623,0.1-0.5,.150,3.6-5.1,.709,10.4,1.3,4.7,1.4,1.0,2.0,14.2,40,36.0,6.0-9.5,.623,0.1-0.6,.150,4.0-5.7,.709,11.7,1.5,5.3,1.6,1.1,2.2,16.0,.654,.628,.059,.602,.311,18.8,0.40,1.22,35.1,.184,.128,.309,139.0,80.7,9.1,8.1,17.2
2012,2,Michael Kidd-Gilchrist SF | Kentucky,michael-kidd-gilchrist,https://www.tankathon.com/players/michael-kidd-gilchrist,SF,"6'7.5""",233lbs,18.72yrs,"35.5""",11.77,,3.18,"8'8.5""","7'0""",40,31.1,4.0-8.2,.491,0.3-1.3,.255,3.6-4.8,.745,7.4,1.9,0.9,1.0,2.2,2.4,11.9,40,36.0,4.6-9.5,.491,0.3-1.5,.255,4.2-5.6,.745,8.6,2.2,1.0,1.2,2.5,2.8,13.8,.570,.511,.156,.589,.327,20.6,0.52,0.86,21.2,.109,.084,.193,115.5,92.3,4.1,3.6,7.7
2012,3,Bradley Beal SG | Florida,bradley-beal,https://www.tankathon.com/players/bradley-beal,SG,"6'4.75""",202lbs,18.97yrs,"39.0""",10.95,,3.28,"8'4""","6'8""",37,34.2,4.7-10.6,.445,1.7-5.0,.339,3.6-4.7,.769,6.7,2.2,0.8,1.4,2.1,,14.8,37,36.0,4.9-11.2,.445,1.8-5.3,.339,3.8-4.9,.769,7.1,2.3,0.8,1.5,2.2,,15.6,.575,.525,.473,.440,.358,23.0,0.55,1.05,22.0,.114,.066,.180,115.4,96.9,5.4,2.9,8.4
2012,4,Dion Waiters SG | Syracuse,dion-waiters,https://www.tankathon.com/players/dion-waiters,SG,"6'4""",221lbs,20.54yrs,,,,,,"6'7.25""",37,24.1,4.6-9.6,.476,1.1-3.1,.363,2.3-3.2,.729,2.3,2.5,0.3,1.8,1.3,1.9,12.6,37,36.0,6.9-14.3,.476,1.6-4.6,.363,3.4-4.8,.729,3.4,3.7,0.4,2.7,1.9,2.8,18.8,.565,.534,.317,.331,.351,26.7,0.79,1.92,26.3,.144,.076,.224,118.6,93.9,6.0,4.8,10.8
2012,5,Thomas Robinson PF | Kansas,thomas-robinson,https://www.tankathon.com/players/thomas-robinson,PF,"6'8.75""",244lbs,21.25yrs,"35.5""",11.96,,3.17,"8'10""","7'3.25""",39,31.8,6.7-13.3,.505,0.2-0.4,.500,4.2-6.1,.682,11.9,1.8,0.9,1.1,2.7,,17.7,39,36.0,7.6-15.1,.505,0.2-0.5,.500,4.8-6.9,.682,13.5,2.0,1.0,1.2,3.1,,20.0,.549,.512,.027,.462,.318,30.0,0.44,0.69,27.4,.119,.113,.232,109.8,84.6,5.4,3.4,8.8
2012,6,Damian Lillard PG | Weber State,damian-lillard,https://www.tankathon.com/players/damian-lillard,PG,"6'2.75""",189lbs,21.92yrs,"39.5""",11.15,,3.34,"7'11.5""","6'7.75""",32,34.5,7.2-15.5,.467,2.9-7.2,.409,7.1-8.0,.887,5.0,4.0,0.2,1.5,2.3,1.9,24.5,32,36.0,7.5-16.2,.467,3.0-7.5,.409,7.4-8.3,.887,5.2,4.2,0.2,1.6,2.4,2.0,25.6,.635,.562,.465,.519,.396,33.0,0.82,1.73,34.0,.243,.051,.290,128.4,101.6,9.1,0.7,9.8
2012,7,Harrison Barnes SF | North Carolina,harrison-barnes,https://www.tankathon.com/players/harrison-barnes,SF,"6'8""",228lbs,20.05yrs,"39.5""",10.93,,3.16,"8'5.5""","6'11.25""",38,29.2,6.0-13.7,.440,1.3-3.6,.358,3.7-5.1,.723,5.2,1.1,0.3,,1.9,1.8,17.1,38,36.0,7.4-16.9,.440,1.6-4.4,.358,4.6-6.3,.723,6.4,1.4,0.4,,2.3,2.2,21.1,.528,.487,.263,.374,.349,28.1,0.26,0.58,21.2,.112,.068,.180,111.1,96.1,4.5,2.3,6.8
2012,8,Terrence Ross SG | Washington,terrence-ross,https://www.tankathon.com/players/terrence-ross,SG,"6'7""",197lbs,21.36yrs,"37.5""",11.78,,3.28,"8'4.5""","6'7.25""",35,31.1,6.1-13.4,.457,2.1-5.5,.371,2.1-2.7,.766,6.4,1.4,0.9,1.3,2.0,2.8,16.4,35,36.0,7.1-15.5,.457,2.4-6.4,.371,2.4-3.1,.766,7.4,1.6,1.0,1.5,2.3,3.2,19.0,.558,.534,.413,.200,.368,25.3,0.36,0.70,22.3,.110,.066,.180,113.6,96.8,5.1,,7.9
2012,9,Andre Drummond C | UConn,andre-drummond,https://www.tankathon.com/players/andre-drummond,C,"6'11.75""",279lbs,18.85yrs,"33.5""",10.83,,3.39,"9'1.5""","7'6.25""",34,28.4,4.6-8.6,.538,0.0-0.1,.000,0.8-2.6,.295,7.6,0.4,2.7,0.8,1.5,2.2,10.0,34,36.0,5.8-10.9,.538,0.0-0.1,.000,1.0-3.3,.295,9.6,0.5,3.4,1.0,1.9,2.8,12.7,.509,3PA Rate,.007,.301,.261,20.9,0.16,0.29,21.9,.058,.062,.120,103.1,97.3,2.0,2.9,4.9
2012,10,Austin Rivers SG | Duke,austin-rivers,https://www.tankathon.com/players/austin-rivers,SG,"6'5""",203lbs,19.88yrs,"37.5""",11.54,,3.32,"8'0.5""","6'7.25""",34,33.2,5.1-11.8,.433,1.7-4.7,.365,3.6-5.4,.658,3.4,2.1,0.0,1.0,2.3,2.2,15.5,34,36.0,5.5-12.8,.433,1.8-5.1,.365,3.9-5.9,.658,3.7,2.3,0.0,1.1,2.5,2.4,16.8,.538,.505,.396,.458,.345,25.2,0.52,0.90,16.9,.085,.035,.124,107.8,104.7,3.2,0.8,4.0
2012,11,Meyers Leonard C | Illinois,meyers-leonard,https://www.tankathon.com/players/meyers-leonard,C,"7'1.25""",250lbs,20.30yrs,"32.5""",11.34,,3.41,"9'0""","7'3""",32,31.8,5.3-9.1,.584,0.0-0.3,.091,2.9-4.0,.732,8.2,1.3,1.9,0.5,2.1,2.9,13.6,32,36.0,6.0-10.3,.584,0.0-0.3,.091,3.3-4.5,.732,9.3,1.5,2.2,0.6,2.4,3.3,15.4,.618,.586,.038,.436,.322,22.0,0.45,0.63,24.1,.114,.071,.181,115.5,95.9,3.6,,7.2
2012,12,Jeremy Lamb SG | UConn,jeremy-lamb,https://www.tankathon.com/players/jeremy-lamb,SG,"6'5.25""",179lbs,20.05yrs,"38.0""",10.98,,3.25,"8'6""","6'11""",34,37.2,6.4-13.4,.478,2.1-6.2,.336,2.9-3.6,.810,4.9,1.7,0.6,1.2,2.0,,17.7,34,36.0,6.2-13.0,.478,2.0-6.0,.336,2.8-3.5,.810,4.7,1.6,0.6,1.2,1.9,,17.1,.589,.556,.465,.267,.367,23.9,0.42,0.85,22.1,.123,.041,.164,117.6,103.3,5.7,,7.8
2012,13,Kendall Marshall PG | North Carolina,kendall-marshall,https://www.tankathon.com/players/kendall-marshall,PG,"6'4.25""",198lbs,20.83yrs,"37.0""",12.03,,3.23,"8'0""","6'5.5""",36,33.0,2.9-6.3,.467,0.8-2.2,.354,1.5-2.2,.696,2.6,9.8,0.2,1.2,2.8,1.6,8.1,36,36.0,3.2-6.9,.467,0.9-2.4,.354,1.6-2.4,.696,2.8,10.7,0.2,1.3,3.1,1.7,8.8,.558,.529,.351,Proj NBA 3P%,.333,13.9,3.24,3.48,17.2,.087,.061,.148,114.9,98.4,3.8,,6.6
2012,14,John Henson PF | North Carolina,john-henson,https://www.tankathon.com/players/john-henson,PF,"6'10.5""",216lbs,21.47yrs,"30.0""",,,,,"7'5""",35,29.1,5.9-11.7,.500,0.0-0.0,,2.0-3.9,.511,9.9,1.3,2.9,0.6,1.6,,13.7,35,36.0,7.3-14.5,.500,0.0-0.0,,2.5-4.8,.511,12.2,1.6,3.6,0.7,2.0,,16.9,.505,3PA Rate,.000,.329,.291,23.1,0.35,0.98,24.7,.090,.106,.196,110.2,86.6,4.0,5.0,9.0
2012,15,Maurice Harkless SF | St. John's,maurice-harkless,https://www.tankathon.com/players/maurice-harkless,SF,"6'8.75""",207lbs,19.10yrs,"37.0""",10.87,,3.25,"8'6.5""","7'0""",32,36.1,6.0-13.3,.452,0.5-2.5,.215,2.9-4.3,.676,8.6,1.5,1.4,1.6,2.5,2.3,15.5,32,36.0,6.0-13.3,.452,0.5-2.5,.215,2.9-4.3,.676,8.6,1.5,1.4,1.6,2.5,2.3,15.5,.504,.472,.185,.326,.319,24.9,0.39,0.59,21.1,.062,.045,.111,102.3,102.0,3.0,1.0,4.0
2012,16,Royce White PF | Iowa State,royce-white,https://www.tankathon.com/players/royce-white,PF,"6'8""",261lbs,21.19yrs,,,,,,"7'0""",34,31.5,5.1-9.6,.534,0.1-0.4,.333,3.0-6.0,.498,9.3,5.0,0.9,1.2,3.8,,13.4,34,36.0,5.8-11.0,.534,0.1-0.5,.333,3.4-6.9,.498,10.6,5.7,1.0,1.4,4.3,,15.3,.536,.540,.037,.625,.291,26.5,1.30,1.31,22.8,.078,.075,.153,103.3,95.4,4.3,,8.2
2012,17,Tyler Zeller C | North Carolina,tyler-zeller,https://www.tankathon.com/players/tyler-zeller,C,"7'0.5""",247lbs,22.41yrs,"34.0""",11.13,,3.4,"8'8.5""","7'0""",38,28.2,5.8-10.5,.553,0.0-0.0,,4.8-5.9,.808,9.6,0.9,1.5,,1.9,2.7,16.3,38,36.0,7.4-13.4,.553,0.0-0.0,,6.1-7.5,.808,12.3,1.1,1.9,,2.4,3.4,20.8,.616,3PA Rate,.000,.563,.332,24.5,0.26,0.49,29.9,.172,.093,.265,125.6,89.7,6.8,3.9,10.7
2012,18,Terrence Jones PF | Kentucky,terrence-jones,https://www.tankathon.com/players/terrence-jones,PF,"6'9.5""",252lbs,20.44yrs,"34.5""",11.57,,3.4,"8'11""","7'2.25""",38,29.3,4.7-9.3,.500,0.4-1.3,.327,2.6-4.2,.627,7.2,1.3,1.8,,1.6,,12.3,38,36.0,5.8-11.4,.500,0.5-1.6,.327,3.2-5.2,.627,8.8,1.6,2.2,,2.0,,15.1,.547,.523,.138,.446,.316,22.4,0.39,0.82,24.3,.111,.097,.208,115.3,88.9,5.2,4.9,10.2
2012,19,Andrew Nicholson PF | St. Bonaventure,andrew-nicholson,https://www.tankathon.com/players/andrew-nicholson,PF,"6'9.5""",234lbs,22.52yrs,"30.5""",11.89,,3.67,"8'11""","7'4""",32,30.1,6.9-12.0,.571,0.7-1.7,.434,4.0-5.2,.776,8.4,1.0,2.0,0.7,2.5,,18.5,32,36.0,8.3-14.4,.571,0.8-2.0,.434,4.8-6.2,.776,10.0,1.2,2.4,0.8,3.0,,22.1,.638,.601,.138,.429,.347,29.5,0.32,0.41,31.6,.166,.071,.241,120.1,95.2,7.2,2.1,9.4
2012,20,Evan Fournier SG | Poitiers Basket,evan-fournier,https://www.tankathon.com/players/evan-fournier,SG,"6'7""",205lbs,19.63yrs,,,,,,,30,26.0,4.9-11.5,.425,1.3-4.6,.277,3.0-3.9,.754,3.2,2.2,0.1,1.5,,3.1,14.0,30,36.0,6.8-15.9,.425,1.8-6.4,.277,4.2-5.4,.754,4.4,3.0,0.1,2.1,,4.3,19.4,.524,.480,.396,.341,.354,,,1.02,,,,,,,,,
2012,21,Jared Sullinger PF | Ohio State,jared-sullinger,https://www.tankathon.com/players/jared-sullinger,PF,"6'9""",268lbs,20.29yrs,"31.0""",12.77,,3.81,"8'9.5""","7'1.25""",37,30.4,6.2-11.9,.519,0.4-1.1,.400,4.7-6.2,.768,9.2,1.2,1.1,,1.9,,17.5,37,36.0,7.3-14.1,.519,0.5-1.3,.400,5.6-7.3,.768,10.9,1.4,1.3,,2.2,,20.7,.591,.538,.091,Proj NBA 3P%,.339,27.9,0.31,0.65,30.2,.171,.107,.281,121.8,86.0,7.5,4.1,11.7
2012,22,Fab Melo C | Syracuse,fab-melo,https://www.tankathon.com/players/fab-melo,C,"7'0""",255lbs,21.99yrs,"31.0""",12.14,,3.44,"9'2""","7'2.5""",30,25.4,3.3-5.8,.566,0.0-0.0,,1.3-2.0,.633,5.8,0.7,2.9,0.5,1.4,2.8,7.8,30,36.0,4.7-8.2,.566,0.0-0.0,,1.8-2.8,.633,8.2,1.0,4.1,0.7,2.0,4.0,11.1,.581,3PA Rate,.000,.347,.308,16.5,0.30,0.49,20.7,.079,,.157,112.9,94.2,,4.3,5.3
